wrote 330
165622 01-01 | Who will Chelsea appoint as its next permanent head coach by January 31, 2026?
58520 03-16 | Which Israeli official will say that a senior Iranian official was killed in an overnight strike by March 20, 2026?
669234 03-16 | Where in central Israel will two people be reported killed in Iran's overnight missile attack by March 18, 2026?
405816 03-17 | What town in the occupied West Bank will be reported by the end of March 2026 as the site where three Palestinian women are killed in a missile-related strike on a salon?
676065 03-17 | Which U.S. senator will be listed as a speaker for the main Minnesota "No Kings" protest on March 28, 2026?
864964 03-17 | Whose killing will Iran say its overnight missile strikes on Israel are responding to by 31 March 2026?
388689 03-18 | At which tournament will Lin Yu-ting be announced to return to the ring by 31 March 2026?
398208 03-18 | Through which place will the alleged smuggling route first send US-made AI servers before they move on to Southeast Asia, by March 2026?
512785 03-18 | What country will receive the $8.4bn share of a newly approved US arms sale, including drones, missiles, radars and F-16 aircraft, by March 31, 2026?
666706 03-18 | By March 20, 2026, in which U.S. state will major news outlets report that Chuck Norris was hospitalized before his death?
724111 03-18 | Which city will be identified as the site of a checkpoint attack that killed 13 members of Iran's Basij force by March 20, 2026?
739439 03-18 | Who will Mexican authorities say they detained as the leader of the Los Mayos group inside the Sinaloa Cartel by March 19, 2026?
144493 03-19 | To which country will the survivor and the remains from the U.S. strike on an alleged drug-trafficking boat in the eastern Pacific be transferred, by March 31, 2026?
244043 03-19 | What specific part of Jerusalem will be reported as struck by an explosion seconds after missile sirens on March 20, 2026?
50504 03-19 | What bank will French authorities say was targeted in a foiled explosive attack at its Paris headquarters in March 2026?
655411 03-19 | Which country will Sri Lanka publicly identify, by March 2026, as having asked to land two combat aircraft at Mattala airport?
668257 03-19 | Who will be reported as the IRGC spokesman whose funeral is held in Iran by March 2026?
757234 03-19 | Which organization will be reported as rescuing a toddler from rubble after an airstrike by 29 March 2026?
217580 03-20 | Which Sudanese state will the attacked teaching hospital be reported to be in, by March 21, 2026?
427993 03-20 | Which country will authorities identify by March 25, 2026, as the location of a mass grave from which dozens of bodies, including children, are exhumed?
974962 03-20 | In which city will Eritrea host Eswatini in the first leg of 2027 Africa Cup of Nations qualifying on March 25, 2026?
774274 03-21 | What northern Israeli community will Hezbollah say it targeted with rockets in a strike that kills at least one person on March 22, 2026?
120805 03-22 | Through which country's intermediaries will Donald Trump's 15-point plan be conveyed to Iran by March 25, 2026?
554489 03-22 | From which city will the flight involved in the ground-vehicle collision during landing at a New York airport have departed by March 23, 2026?
581783 03-22 | Which news organization’s journalists will be surrounded by local residents while covering a suspected arson attack in North London, as publicly identified by 31 March 2026?
718848 03-22 | Which town in southern Lebanon will be named as the place where a mosque minaret is blown up by March 24, 2026?
740952 03-22 | Which air force will the crashed plane be reported as belonging to by March 24, 2026?
262505 03-23 | By March 2026, which country will Afghanistan's Foreign Ministry say facilitated Dennis Coyle's release on humanitarian grounds?
494140 03-23 | Which country will IQAir rank as the world's most polluted for 2025 in its annual air-quality report by March 2026?
698278 03-23 | Which IPL franchise will be bought by the consortium including David Blitzer's Bolt Ventures by 31 March 2026?
757107 03-23 | Which city will IQAir identify as the world’s most polluted city in its annual 2025 air quality report, expected by March 2026?
912807 03-23 | What country will Alexander Lukashenko make his first official visit to during the week ending 31 March 2026?
200605 03-24 | Which country&#39;s citizens will Australia say are covered by its temporary six-month visitor ban, in a Home Affairs announcement by March 31, 2026?
240291 03-24 | What country will Latvian officials say a drone that crashes after entering from Russian airspace may be linked to by March 31, 2026?
34927 03-25 | Which team will Kosovo host in the men's 2026 FIFA World Cup European playoff final on March 31, 2026?
390530 03-25 | From whom will Donald Trump say he received the request for the 10-day pause, by March 31, 2026?
534802 03-25 | Which national team will Italy face in the UEFA playoff final for a place at the 2026 men's World Cup, as confirmed by March 31, 2026?
953884 03-25 | Which country's navy will be reported as launching the search for two missing aid boats heading to Cuba, by March 31, 2026?
489669 03-26 | Which England defender will score the hosts' only goal and later concede a stoppage-time penalty in the men's friendly against Uruguay at Wembley by 28 March 2026?
659262 03-26 | Who will be identified in verified reporting by March 29, 2026, as the Israeli Premier League footballer shown opening fire in southern Lebanon?
79608 03-26 | What Iranian city will see six people killed after air raids hit three residential houses on March 27, 2026?
177801 03-27 | Which armed group will say it launched attacks in the area hours before a missile strike on a southern Israeli city on March 28, 2026?
320138 03-27 | Which app will a suspect say was used to recruit him for the attempted Paris bank bombing by March 31, 2026?
560679 03-27 | Which company will say one of its sites in Abu Dhabi suffered significant damage after Iranian missile and drone strikes, by 29 March 2026?
795856 03-27 | What town in southern Lebanon will be named as the site of the strike that will kill three Lebanese journalists, by March 2026?
144312 03-28 | Who will say by March 29, 2026 that worship “for all religions” must be guaranteed in Jerusalem after the Palm Sunday access dispute?
26340 03-28 | In which country will an Iranian raid kill a worker at a plant that makes electricity and fresh water by 30 March 2026?
267975 03-28 | What Sudanese state will be named as the place where an aid disruption leaves thousands cut off, in reporting published by March 30, 2026?
